tile_type,pip_name,speed_index,fwd_type,fwd_slow_max,fwd_slow_min,fwd_fast_max,fwd_fast_min,fwd_res,fwd_in_cap
CMT_TOP_L_LOWER_T,CMT_PHASER_IN_CA_PHASEREFCLK->>CMT_PHASER_IN_CA_RCLK,1765,buffer,0.263,0.228,0.115,0.100,0.0,
CMT_TOP_L_LOWER_T,CMT_PHASER_OUT_B_OCLK->>CMT_PHASER_B_OCLK_TOIOI,1766,buffer_switch,0.097,0.092,0.035,0.031,0.0,0.000
CMT_TOP_L_LOWER_T,CMT_PHASER_OUT_B_OCLK1X_90->>CMT_PHASER_B_OCLK90_TOIOI,1767,buffer_switch,0.090,0.085,0.033,0.030,0.0,0.000
CMT_TOP_L_LOWER_T,CMT_PHASER_OUT_B_OCLKDIV->>CMT_PHASER_B_OCLKDIV_TOIOI,1768,buffer_switch,0.100,0.095,0.036,0.033,0.0,0.000
CMT_TOP_L_LOWER_T,CMT_TOP_CLK0_8->>CMT_BOT_HCLKMUX_CLKINT_0,1769,buffer_switch,0.000,0.000,0.000,0.000,0.0,0.000
CMT_TOP_L_LOWER_T,MMCMOUT_CLK_FREQ_BB_REBUFIN0->>MMCMOUT_CLK_FREQ_BB_REBUFOUT3,1770,buffer_switch,0.400,0.380,0.144,0.131,0.0,0.000
CMT_TOP_L_LOWER_T,MMCMOUT_CLK_FREQ_BB_REBUFOUT0->>MMCM_CLK_FREQBB_REBUFOUT0,1771,tl_buffer,0.000,0.000,0.000,0.000,,
CMT_TOP_L_UPPER_B,CMT_FREQ_BB_PREF_IN0->>CMT_FREQ_PHASER_REFMUX_0,1850,buffer_switch,0.215,0.204,0.070,0.063,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_FREQ_PHASER_REFMUX_0->>CMT_PHASER_REF_CLKIN,1851,buffer_switch,0.281,0.267,0.101,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_FREQ_PHASER_REFMUX_0->>CMT_PHASER_IN_CA_FREQREFCLK,1852,buffer_switch,0.241,0.229,0.086,0.078,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_FREQ_PHASER_REFMUX_0->>CMT_PHASER_IN_DB_FREQREFCLK,1853,buffer_switch,0.231,0.219,0.080,0.072,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_FREQ_PHASER_REFMUX_0->>CMT_PHASER_OUT_DB_FREQREFCLK,1747,buffer_switch,0.237,0.225,0.078,0.071,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_FREQ_PHASER_REFMUX_0->>CMT_PHASER_OUT_CA_FREQREFCLK,1748,buffer_switch,0.248,0.235,0.087,0.078,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_FREQ_PHASER_REFMUX_1->>CMT_PHY_CONTROL_MEMREFCLK,1854,buffer_switch,0.255,0.242,0.084,0.076,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASERREF_PHASERIN_C->CMT_PHASER_IN_CA_PHASEREFCLK,659,pass_transistor,,,,,0.000,
CMT_TOP_L_UPPER_B,CMT_PHASERTOP_PHYCTLEMPTY->>CMT_PHASER_TOP_SYNC_BB,1855,tl_buffer,0.000,0.000,0.000,0.000,,
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_0,1461,buffer_switch,0.255,0.221,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_1,1462,buffer_switch,0.255,0.221,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_2,1476,buffer_switch,0.253,0.220,0.105,0.091,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_3,1477,buffer_switch,0.253,0.220,0.105,0.091,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_4,1478,buffer_switch,0.253,0.220,0.105,0.091,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_5,1479,buffer_switch,0.253,0.220,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_6,1480,buffer_switch,0.256,0.222,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_7,1481,buffer_switch,0.256,0.222,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_8,1482,buffer_switch,0.257,0.223,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_9,1473,buffer_switch,0.259,0.225,0.109,0.095,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_10,1474,buffer_switch,0.260,0.226,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_11,1475,buffer_switch,0.260,0.226,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_0,1458,buffer_switch,0.262,0.228,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_1,1459,buffer_switch,0.262,0.228,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_2,1486,buffer_switch,0.261,0.227,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_3,1487,buffer_switch,0.261,0.227,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_4,1488,buffer_switch,0.261,0.227,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_5,1489,buffer_switch,0.261,0.227,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_6,1490,buffer_switch,0.262,0.228,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_7,1491,buffer_switch,0.262,0.228,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_8,1492,buffer_switch,0.263,0.229,0.112,0.098,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_9,1483,buffer_switch,0.265,0.231,0.113,0.099,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_10,1484,buffer_switch,0.265,0.231,0.113,0.099,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_ICLK_TOIOI->>CMT_TOP_ICLK_11,1485,buffer_switch,0.265,0.231,0.113,0.099,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK90_TOIOI->>CMT_TOP_OCLK1X_90_7,1493,buffer_switch,0.252,0.219,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_0,1470,buffer_switch,0.253,0.220,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_1,1471,buffer_switch,0.253,0.220,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_2,1497,buffer_switch,0.253,0.220,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_3,1498,buffer_switch,0.253,0.220,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_4,1499,buffer_switch,0.251,0.218,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_5,1500,buffer_switch,0.251,0.218,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_6,1501,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_7,1502,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_8,1503,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_9,1494,buffer_switch,0.252,0.219,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_10,1495,buffer_switch,0.252,0.219,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_11,1496,buffer_switch,0.252,0.219,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_0,1467,buffer_switch,0.248,0.215,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_1,1468,buffer_switch,0.248,0.215,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_2,1507,buffer_switch,0.246,0.214,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_3,1508,buffer_switch,0.246,0.214,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_4,1509,buffer_switch,0.245,0.213,0.103,0.089,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_5,1510,buffer_switch,0.245,0.213,0.103,0.089,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_6,1511,buffer_switch,0.244,0.212,0.103,0.089,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_7,1512,buffer_switch,0.246,0.214,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_8,1513,buffer_switch,0.248,0.215,0.105,0.091,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_9,1504,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_10,1505,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_C_OCLK_TOIOI->>CMT_TOP_OCLK_11,1506,buffer_switch,0.251,0.218,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_IN_CA_PHASEREFCLK->>CMT_PHASER_IN_CA_RCLK,1765,buffer,0.263,0.228,0.115,0.100,0.0,
CMT_TOP_L_UPPER_B,CMT_PHASER_IN_C_ICLK->>CMT_PHASER_C_ICLK_TOIOI,1856,buffer_switch,0.101,0.096,0.035,0.031,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_IN_C_ICLKDIV->>CMT_PHASER_C_ICLKDIV_TOIOI,1857,buffer_switch,0.103,0.098,0.037,0.034,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_OUT_C_OCLK->>CMT_PHASER_C_OCLK_TOIOI,1858,buffer_switch,0.095,0.090,0.035,0.031,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_OUT_C_OCLK1X_90->>CMT_PHASER_C_OCLK90_TOIOI,1859,buffer_switch,0.101,0.096,0.036,0.033,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_OUT_C_OCLKDIV->>CMT_PHASER_C_OCLKDIV_TOIOI,1860,buffer_switch,0.107,0.102,0.038,0.034,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_TOP_SYNC_BB->>CMT_PHASERTOP_PHYCTLMSTREMPTY,656,buffer_switch,0.000,0.000,0.000,0.000,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_DQS_TO_PHASER_C->>CMT_PHASERREF_PHASERIN_C,1861,buffer_switch,0.275,0.261,0.095,0.086,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_DQS_TO_PHASER_D->>CMT_PHASERREF_PHASERIN_D,1862,buffer_switch,0.306,0.291,0.105,0.095,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF0->>CMT_PHASERREF_PHASEROUT_C,1863,buffer_switch,0.462,0.439,0.161,0.146,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF0->>CMT_PHASERREF_PHASERIN_C,1864,buffer_switch,0.468,0.445,0.165,0.149,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF0->>CMT_PHASERREF_PHASEROUT_D,1865,buffer_switch,0.470,0.447,0.165,0.149,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF0->>CMT_PHASERREF_PHASERIN_D,1866,buffer_switch,0.475,0.452,0.168,0.152,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF_ABOVE0->>CMT_PHASERREF_PHASEROUT_C,1867,buffer_switch,0.470,0.447,0.166,0.151,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF_ABOVE0->>CMT_PHASERREF_PHASERIN_C,1868,buffer_switch,0.476,0.453,0.171,0.155,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF_ABOVE0->>CMT_PHASERREF_PHASEROUT_D,1869,buffer_switch,0.468,0.445,0.165,0.149,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF_ABOVE0->>CMT_PHASERREF_PHASERIN_D,1870,buffer_switch,0.472,0.448,0.168,0.152,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF_BELOW0->>CMT_PHASERREF_PHASEROUT_C,1871,buffer_switch,0.514,0.489,0.194,0.176,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF_BELOW0->>CMT_PHASERREF_PHASERIN_C,1872,buffer_switch,0.523,0.497,0.199,0.180,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF_BELOW0->>CMT_PHASERREF_PHASEROUT_D,1873,buffer_switch,0.517,0.491,0.195,0.177,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_PHASER_UP_PHASERREF_BELOW0->>CMT_PHASERREF_PHASERIN_D,1874,buffer_switch,0.523,0.497,0.199,0.181,0.0,0.000
CMT_TOP_L_UPPER_B,CMT_TOP_CLK0_0->>CMT_L_TOP_UPPER_B_CLKINT_2,1769,buffer_switch,0.000,0.000,0.000,0.000,0.0,0.000
CMT_TOP_L_UPPER_B,PLLOUT_CLK_FREQ_BB_REBUFIN0->>CMT_FREQ_PHASER_REFMUX_0,1875,buffer_switch,0.352,0.334,0.126,0.114,0.0,0.000
CMT_TOP_L_UPPER_B,PLLOUT_CLK_FREQ_BB_REBUFIN0->>PLLOUT_CLK_FREQ_BB_REBUFOUT3,1876,buffer_switch,0.478,0.454,0.173,0.157,0.0,0.000
CMT_TOP_L_UPPER_B,PLLOUT_CLK_FREQ_BB_REBUFOUT0->>PLL_CLK_FREQBB_REBUFOUT0,1771,tl_buffer,0.000,0.000,0.000,0.000,,
CMT_TOP_L_UPPER_B,PLL_CLK_FREQBB_REBUFOUT0->>CMT_FREQ_BB_PREF_IN0,1528,buffer_switch,0.000,0.000,0.000,0.000,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_0,1461,buffer_switch,0.255,0.221,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_1,1462,buffer_switch,0.255,0.221,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_10,1474,buffer_switch,0.260,0.226,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_11,1475,buffer_switch,0.260,0.226,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_12,1914,buffer_switch,0.260,0.226,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_2,1476,buffer_switch,0.253,0.220,0.105,0.091,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_3,1477,buffer_switch,0.253,0.220,0.105,0.091,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_4,1478,buffer_switch,0.253,0.220,0.105,0.091,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_5,1479,buffer_switch,0.253,0.220,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_6,1480,buffer_switch,0.256,0.222,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_7,1481,buffer_switch,0.256,0.222,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_8,1482,buffer_switch,0.257,0.223,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLKDIV_TOIOI->>CMT_TOP_ICLKDIV_9,1473,buffer_switch,0.259,0.225,0.109,0.095,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_0,1458,buffer_switch,0.262,0.228,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_1,1459,buffer_switch,0.262,0.228,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_10,1484,buffer_switch,0.265,0.231,0.113,0.099,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_11,1485,buffer_switch,0.265,0.231,0.113,0.099,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_12,1915,buffer_switch,0.267,0.232,0.114,0.099,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_2,1486,buffer_switch,0.261,0.227,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_3,1487,buffer_switch,0.261,0.227,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_4,1488,buffer_switch,0.261,0.227,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_5,1489,buffer_switch,0.261,0.227,0.110,0.096,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_6,1490,buffer_switch,0.262,0.228,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_7,1491,buffer_switch,0.262,0.228,0.111,0.097,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_8,1492,buffer_switch,0.263,0.229,0.112,0.098,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_ICLK_TOIOI->>CMT_TOP_ICLK_9,1483,buffer_switch,0.265,0.231,0.113,0.099,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK90_TOIOI->>CMT_TOP_OCLK1X_90_7,1493,buffer_switch,0.252,0.219,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_0,1470,buffer_switch,0.253,0.220,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_1,1471,buffer_switch,0.253,0.220,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_10,1495,buffer_switch,0.252,0.219,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_11,1496,buffer_switch,0.252,0.219,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_12,1916,buffer_switch,0.253,0.220,0.108,0.094,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_2,1497,buffer_switch,0.253,0.220,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_3,1498,buffer_switch,0.253,0.220,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_4,1499,buffer_switch,0.251,0.218,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_5,1500,buffer_switch,0.251,0.218,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_6,1501,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_7,1502,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_8,1503,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLKDIV_TOIOI->>CMT_TOP_OCLKDIV_9,1494,buffer_switch,0.252,0.219,0.107,0.093,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_0,1467,buffer_switch,0.248,0.215,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_1,1468,buffer_switch,0.248,0.215,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_10,1505,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_11,1506,buffer_switch,0.251,0.218,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_12,1917,buffer_switch,0.251,0.218,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_2,1507,buffer_switch,0.246,0.214,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_3,1508,buffer_switch,0.246,0.214,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_4,1509,buffer_switch,0.245,0.213,0.103,0.089,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_5,1510,buffer_switch,0.245,0.213,0.103,0.089,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_6,1511,buffer_switch,0.244,0.212,0.103,0.089,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_7,1512,buffer_switch,0.246,0.214,0.104,0.090,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_8,1513,buffer_switch,0.248,0.215,0.105,0.091,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PHASER_D_OCLK_TOIOI->>CMT_TOP_OCLK_9,1504,buffer_switch,0.249,0.216,0.106,0.092,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PLL_PHASERD_CTSBUS0->CMT_TOP_LOGIC_OUTS_L_B14_7,659,pass_transistor,,,,,0.000,
CMT_TOP_L_UPPER_T,CMT_PLL_PHASER_IN_D_ICLK->>CMT_PHASER_D_ICLK_TOIOI,1918,buffer_switch,0.119,0.113,0.040,0.037,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PLL_PHASER_IN_D_ICLKDIV->>CMT_PHASER_D_ICLKDIV_TOIOI,1919,buffer_switch,0.120,0.114,0.043,0.039,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PLL_PHASER_OUT_D_OCLK->>CMT_PHASER_D_OCLK_TOIOI,1920,buffer_switch,0.113,0.107,0.040,0.036,0.0,0.000
CMT_TOP_L_UPPER_T,CMT_PLL_PHASER_OUT_D_OCLK1X_90->>CMT_PHASER_D_OCLK90_TOIOI,1921,buffer_switch,0.118,0.112,0.041,0.037,0.0,0.000
